airline;connection_issues;review_count;connection_rate
Air Canada;25;998;0.025050100200400802
Austrian Airlines;18;799;0.02252816020025031
American Airlines;22;998;0.022044088176352707
Turkish Airlines;22;998;0.022044088176352707
TAP Portugal;21;998;0.021042084168336674
KLM Royal Dutch Airlines;20;998;0.02004008016032064
Air China;16;805;0.01987577639751553
Oman Air;10;509;0.019646365422396856
Gulf Air;8;420;0.01904761904761905
United Airlines;18;998;0.018036072144288578
Finnair;16;957;0.01671891327063741
LATAM Airlines;9;542;0.016605166051660517
Copa Airlines;7;430;0.01627906976744186
Swiss International Air Lines;16;990;0.01616161616161616
Delta Air Lines;16;998;0.01603206412825651
Iberia;14;898;0.015590200445434299
Aeromexico;11;726;0.015151515151515152
WestJet;15;999;0.015015015015015015
Emirates;15;1001;0.014985014985014986
Air France;14;998;0.014028056112224449
Lufthansa;14;999;0.014014014014014014
Aerolineas Argentinas;3;227;0.013215859030837005
Avianca;10;796;0.01256281407035176
China Airlines;6;492;0.012195121951219513
Singapore Airlines;12;999;0.012012012012012012
Alaska Airlines;11;980;0.011224489795918367
EVA Air;3;270;0.011111111111111112
Norwegian;10;985;0.01015228426395939
Asiana Airlines;5;526;0.009505703422053232
Qatar Airways;9;998;0.009018036072144289
British Airways;9;999;0.009009009009009009
China Eastern Airlines;6;698;0.008595988538681949
SAS Scandinavian Airlines;8;941;0.008501594048884165
Air New Zealand;7;878;0.007972665148063782
Hainan Airlines;3;428;0.007009345794392523
Malaysia Airlines;7;999;0.007007007007007007
Thai Airways;7;999;0.007007007007007007
Saudia;3;476;0.0063025210084033615
Etihad Airways;6;998;0.006012024048096192
JetBlue Airways;5;998;0.00501002004008016
Cathay Pacific;5;998;0.00501002004008016
Virgin Atlantic;4;878;0.004555808656036446
China Southern Airlines;4;999;0.004004004004004004
Vietnam Airlines;3;766;0.0039164490861618795
ANA All Nippon Airways;2;628;0.0031847133757961785
Southwest Airlines;2;999;0.002002002002002002
Korean Air;1;595;0.0016806722689075631
easyJet;1;800;0.00125
Japan Airlines;0;434;0.0
Ryanair;0;998;0.0
