airline;avg_sentiment;review_count;avg_rating
ANA All Nippon Airways;0.6213985668789809;628;7.74203821656051
Aerolineas Argentinas;0.061859030837004406;227;4.6607929515418505
Aeromexico;-0.12642823691460056;726;3.7024793388429753
Air Canada;-0.30957685370741483;998;2.5501002004008018
Air China;-0.048109565217391306;805;4.114285714285714
Air France;0.06740801603206413;998;4.6332665330661325
Air New Zealand;0.25004179954441913;878;5.3917995444191344
Alaska Airlines;0.0206334693877551;980;4.235714285714286
American Airlines;-0.37696422845691385;998;2.1462925851703405
Asiana Airlines;0.6464532319391635;526;7.830798479087452
Austrian Airlines;0.13780488110137673;799;4.911138923654568
Avianca;-0.23412889447236182;796;3.007537688442211
British Airways;-0.04464044044044044;999;3.8316633266533064
Cathay Pacific;0.3745211422845692;998;6.288866599799398
China Airlines;0.3948239837398374;492;6.3028455284552845
China Eastern Airlines;0.06035644699140401;698;4.7722063037249285
China Southern Airlines;0.6739554554554555;999;7.8998998998999
Copa Airlines;-0.044969767441860466;430;3.9209302325581397
Delta Air Lines;-0.19264428857715432;998;3.009018036072144
EVA Air;0.5336081481481482;270;7.214814814814815
Emirates;-0.026445354645354646;1001;4.1448551448551445
Etihad Airways;-0.27079078156312625;998;2.929859719438878
Finnair;0.2101274817136886;957;5.260188087774295
Gulf Air;0.2031954761904762;420;5.169047619047619
Hainan Airlines;0.7446135514018691;428;8.32943925233645
Iberia;0.03799042316258352;898;4.482182628062361
Japan Airlines;0.5609684331797234;434;7.32258064516129
JetBlue Airways;-0.3677340681362726;998;2.164328657314629
KLM Royal Dutch Airlines;-0.0060522044088176345;998;4.166332665330661
Korean Air;0.5797912605042017;595;7.37983193277311
LATAM Airlines;-0.17861236162361624;542;3.300738007380074
Lufthansa;-0.2648052052052052;999;2.990990990990991
Malaysia Airlines;0.11576696696696696;999;5.0030060120240485
Norwegian;0.11803756345177664;985;4.723857868020304
Oman Air;0.28841532416502946;509;5.829076620825147
Qatar Airways;0.423738376753507;998;6.804609218436874
Ryanair;-0.1784060120240481;998;2.990981963927856
SAS Scandinavian Airlines;0.04953613177470776;941;4.218916046758768
Saudia;0.032565546218487396;476;4.605042016806722
Singapore Airlines;0.38007407407407406;999;6.415415415415415
Southwest Airlines;-0.12196986986986987;999;3.1881881881881884
Swiss International Air Lines;0.17880707070707072;990;5.247474747474747
TAP Portugal;-0.222726753507014;998;2.9168336673346693
Thai Airways;0.36098318318318323;999;6.238238238238238
Turkish Airlines;-0.2772789579158317;998;2.904809619238477
United Airlines;-0.06502284569138277;998;2.7625250501002006
Vietnam Airlines;0.26306775456919057;766;5.695822454308094
Virgin Atlantic;0.3328233485193622;878;5.382687927107061
WestJet;-0.21660610610610612;999;2.83983983983984
easyJet;-0.09033474999999999;800;3.70875
